"","Estimate"
"324",21276.5059936775
"325",160092.745316747
"326",71485.0804927736
"327",44633.2317766223
"328",9920.6948991044
"329",57985.9430336419
"330",22226.4356318282
"331",12769.3297098714
"332",45705.1384181069
"333",58728.8576347766
"334",21956.6795965402
"335",16470.3715393387
"336",23821.9765907915
"337",48047.425163279
"338",17858.4908575049
"339",39997.6369018475
"340",53993.0937223428
"341",13603.0429388529
"342",110709.377926544
"343",18702.6411840911
"344",98035.4884338333
"345",39881.2399653318
"346",17359.2565200461
"347",40384.2719117854
"348",48839.8437027156
"349",15526.8315119134
"350",13510.5568549358
"351",119565.127823476
"352",30622.6859468729
"353",15658.1432690594
"354",56598.5394200496
"355",40564.961241132
"356",13707.912054339
"357",34699.423987862
"358",8614.8766839493
"359",14812.1487393388
"360",21971.5586761308
"361",83708.7209607182
"362",57165.6313312682
"363",14072.7706051434
"364",22590.8170798827
"365",11984.8800600255
"366",69253.3932148911
"367",49007.8442379715
"368",25190.2751316647
"369",53969.217416109
"370",93238.0335260191
"371",90415.3835074161
"372",73409.8176470727
"373",5913.87535826482
"374",11848.7469555749
"375",19361.3731927865
"376",26590.1311811775
"377",18825.4975662956
"378",39713.642739784
"379",59302.1729932744
"380",97122.7920673419
"381",18677.3436076004
"382",28695.9883275637
"383",13540.5939837114
"384",59354.224090732
"385",86297.9383813381
"386",101583.056174348
"387",96072.604472364
"388",71850.7923352948
"389",14294.8256273933
"390",99994.0541504221
"391",91662.0329107673
"392",41208.3714821522
"393",32118.1524639329
"394",39910.4337552897
"395",24839.5534848009
"396",38418.398969536
"397",69941.6752894051
"398",14407.0776075433
"399",53871.0058407811
